"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"13105","GLMP","ZNF460-AS1","ARMCX3","H3Y1",13105,11192,11252,11742,4466
"13106","TWF1","LOC107987043","PRDM4","LOC101927827",13106,11193,11254,11743,4466
"13107","CDH13","LINC00844","CBX8","DNAJC11",13107,11194,11256,11744,4468
"13108","XPO5","LOC105374883","LINC00520","C11orf91",13108,11195,11257,11746,4469
"13109","AK3","LOC105369363","LOC105373637","LOC105377806",13109,11196,11258,11747,4469
"13110","P3H4","LINC01144","DTYMK","RAPGEF1",13110,11197,11260,11748,4470
"13111","SRSF10","CWC25","PCNX4","STK24-AS1",13111,11199,11262,11749,4470
"13112","DDX18","DENND6A-DT","ACTR3","NCF2",13112,11200,11264,11750,4472
"13113","DNAJC7","PRKCZ","CCDC130","LOC107986943",13113,11202,11266,11752,4473
"13114","BMPR1A","LINC02798","BPNT1","DEFA5",13114,11203,11268,11753,4473
"13115","POLG","TPTE2P6","CHAF1B","VEGFA",13115,11204,11268,11754,4474
"13116","RBX1","FAM239B","GLDN","NUP50-DT",13116,11206,11270,11756,4475
"13117","EIF2B2","PSG3","WHRN","LOC105370549",13117,11208,11271,11757,4475
"13118","VTI1A","LINC01142","CRPPA","LOC107985830",13118,11209,11273,11758,4475
"13119","NIP7","LOC105373181","MRM1","NT5C2",13119,11211,11275,11760,4476
"13120","BTRC","ABCA11P","SOCAR","LOC105374855",13120,11213,11277,11762,4477
"13121","RFC2","SNORA63","SLC25A39","CEACAM4",13121,11215,11279,11763,4478
"13122","NEK1","LOC105369194","PLEKHM2","SNORD114-6",13122,11216,11281,11765,4478
"13123","ALG9","EEFSEC","LCOR","DEFB110",13123,11218,11283,11766,4479
"13124","GET4","ANKS1B","HAUS6","LCORL",13124,11220,11285,11768,4480
"13125","MPP1","CHMP1B2P","PGRMC1","LOC105373406",13125,11221,11287,11769,4480
"13126","STMN2","UQCRBP1","HCCS","LOC107984283",13126,11223,11289,11771,4480
"13127","GPR180","HAS3","CDPF1","ROPN1",13127,11224,11291,11772,4481
"13128","HAUS1","LOC729291","CEP85","LOC105377410",13128,11226,11292,11774,4481
"13129","PIMREG","C22orf23","OPHN1","SRPK3",13129,11228,11294,11776,4482
"13130","PAWR","LOC105372261","EXOSC10-AS1","OPRK1",13130,11229,11295,11777,4483
"13131","AEBP2","SNORD116-24","GDPD3","LOC101927191",13131,11230,11297,11777,4484
"13132","LSM5","ARHGAP20","LOC107986942","LINC02614",13132,11232,11298,11778,4485
"13133","CXorf56","LOC107986798","LOC101928933","GINS4",13133,11233,11300,11778,4487
"13134","FAM200B","LINC01599","PPFIA2","ITGA9-AS1",13134,11234,11302,11779,4488
"13135","TLCD5","FAM227B","RPSAP9","CD40",13135,11236,11304,11779,4489
"13136","CRADD","LOC100130283","AMH","MIR6724-1",13136,11237,11305,11779,4489
