"","truseq","inlysate","purified_RNA","rank","rand_truseq","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"10553","STARD7-AS1","DACT3-AS1","STARD7-AS1",10553,"TDRD6",9474,10553,9474,2935
"10554","ANKDD1A","CYYR1-AS1","ANKDD1A",10554,"LINC01483",9475,10554,9475,2935
"10555","COBLL1","LOC107984952","COBLL1",10555,"LOC105379343",9476,10555,9476,2936
"10556","NFS1","UBBP4","NFS1",10556,"LOC105372790",9478,10556,9478,2936
"10557","RPRD1A","LOC105377929","RPRD1A",10557,"LOC105373954",9479,10557,9479,2936
"10558","PIN1","ZNF718","PIN1",10558,"EXOSC4",9481,10558,9481,2937
"10559","SVIL","LINC02427","SVIL",10559,"TDRKH",9482,10559,9482,2937
"10560","MAML2","ZNF708","MAML2",10560,"LOC105369295",9484,10560,9484,2937
"10561","TFG","LINC01436","TFG",10561,"LINC01688",9485,10561,9485,2937
"10562","LINC01278","STK4-AS1","LINC01278",10562,"LOC105369901",9486,10562,9486,2937
"10563","XKR8","LOC101926977","XKR8",10563,"AQP5",9487,10563,9487,2938
"10564","TEP1","PRSS53","TEP1",10564,"LOC105371909",9488,10564,9488,2938
"10565","WWC3","PRDM16","WWC3",10565,"LOC105375419",9489,10565,9489,2938
"10566","PROB1","DICER1-AS1","PROB1",10566,"PDXP",9489,10566,9489,2940
"10567","ACYP2","HAND2-AS1","ACYP2",10567,"UFL1",9490,10567,9490,2942
"10568","NUP85","TMEM225B","NUP85",10568,"CYP4F30P",9491,10568,9491,2943
"10569","WDFY3","ARHGAP28","WDFY3",10569,"PHACTR1",9492,10569,9492,2944
"10570","THAP1","POU5F2","THAP1",10570,"NRG4",9493,10570,9493,2944
"10571","BIRC2","RNF144A-AS1","BIRC2",10571,"ZNF664-RFLNA",9494,10571,9494,2944
"10572","MRS2","ASAH2B","MRS2",10572,"LINC02793",9496,10572,9496,2944
"10573","POLI","INTS6L","POLI",10573,"LOC107985494",9497,10573,9497,2944
"10574","CCT6B","IRAIN","CCT6B",10574,"LOC105369965",9497,10574,9497,2945
